GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
avrae/avrae,Y,146,2854,17885,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/avrae/avrae/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity,1,"Most of the bugs raised by bot, resolved then closed by bot",1,https://github.com/avrae/avrae/blob/master/LICENSE is provided.,1,There are many files related to testing,26.0,12.0,52.0,43.0,42.0,99.0,99.0,1.0,6.0,96.0,0.008049535603715172,0.008928571428571428,0.006008782066096603,0.004982041478391843,0.0013395847287340924,0.004817283830470536,0.004817283830470536,0.0005279831045406547,0.0065430752453653224,0.0021577882670262977
awslabs/amazon-sagemaker-examples,Y,3754,1383,103490,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/awslabs/amazon-sagemaker-examples/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/awslabs/amazon-sagemaker-examples/blob/master/LICENSE.txt is provided.,1,There are many projects in this git and some of them have test files,355.0,64.0,318.0,235.0,3278.0,2242.0,2242.0,37.0,200.0,4095.0,0.10990712074303406,0.047619047619047616,0.03674601340420615,0.027227435986560074,0.10455139859024655,0.1090944479587368,0.1090944479587368,0.019535374868004222,0.21810250817884408,0.09204315576534051
bachili/redner,Y,849,871,33049,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/BachiLi/redner/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1,There are only 4 commits in the past month,1,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BachiLi/redner/pull/110 and https://github.com/BachiLi/redner/issues/126.",1,https://github.com/BachiLi/redner/blob/master/LICENSE is provided.,1,There are many files related to testing.,6.0,0.0,13.0,5.0,484.0,37.0,37.0,0.0,3.0,406.0,0.0018575851393188856,0.0,0.0015021955165241507,0.0005793071486502144,0.015437119254935731,0.0018003990073475742,0.0018003990073475742,0.0,0.0032715376226826612,0.009125646212632052
baldassarrefe/deep-koalarization,Y,349,148,2616,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/baldassarreFe/deep-koalarization/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/baldassarreFe/deep-koalarization/issues/4 and https://github.com/baldassarreFe/deep-koalarization/issues/14",1,https://github.com/baldassarreFe/deep-koalarization/blob/master/LICENSE is provided.,1,There are many files related to testing,1.0,0.0,17.0,16.0,55.0,41.0,41.0,0.0,0.0,51.0,0.00030959752321981426,0.0,0.001964409521608505,0.001853782875680686,0.0017542180971517878,0.0019950367378716366,0.0019950367378716366,0.0,0.0,0.0011463250168577209
batra-mlp-lab/visdial-challenge-starter-pytorch,N,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",1,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayesiains/nflows,Y,107,105,6154,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bayesiains/nflows/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1,Little evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/bayesiains/nflows/blob/master/LICENSE.md is provided.,1,There are many files related to testing,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
belval/textrecognitiondatagenerator,Y,1269,121,2922,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Belval/TextRecognitionDataGenerator/graphs/contributors shows that there are multiple contributors but mainly author,1,The project uses Travis CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/Belval/TextRecognitionDataGenerator/issues/109 and https://github.com/Belval/TextRecognitionDataGenerator/issues/95.",1,https://github.com/Belval/TextRecognitionDataGenerator/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,21.0,0.0,3.0,3.0,90.0,67.0,67.0,0.0,0.0,52.0,0.0065015479876161,0.0,0.00034666050381326557,0.0003475842891901286,0.002870538704430198,0.00326018198627804,0.00326018198627804,0.0,0.0,0.001168801977972578
beringresearch/ivis,Y,199,420,1694,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/beringresearch/ivis/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/beringresearch/ivis/issues/61 and https://github.com/beringresearch/ivis/issues/71",1,https://github.com/beringresearch/ivis/blob/master/LICENSE is provided.,1,There are many files related to testing,9.0,0.0,9.0,8.0,73.0,91.0,91.0,2.0,0.0,67.0,0.0027863777089783283,0.0,0.0010399815114397967,0.000926891437840343,0.0023283258380378275,0.004428008369422413,0.004428008369422413,0.0010559662090813093,0.0,0.001505956394695437
berkmancenter/mediacloud,Y,164,18259,34919,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/berkmancenter/mediacloud/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity but decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/berkmancenter/mediacloud/issues/697 and https://github.com/berkmancenter/mediacloud/issues/713",1,https://github.com/berkmancenter/mediacloud/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,18.0,1.0,129.0,129.0,423.0,464.0,464.0,2.0,0.0,760.0,0.005572755417956657,0.000744047619047619,0.014906401663970418,0.014946124435175531,0.013491531910821931,0.022577976740791202,0.022577976740791202,0.0010559662090813093,0.0,0.017082490447291526
bethgelab/foolbox,Y,1474,1538,7631,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bethgelab/foolbox/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/bethgelab/foolbox/issues/498 and https://github.com/bethgelab/foolbox/issues/545 but some are closed without resolving",0,"There is no license to be found, either in the form of a license file or written inside the source code file.",1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bethgelab/siamese-mask-rcnn,N,218,174,8081,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/matterport/Mask_RCNN/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/matterport/Mask_RCNN/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beyretb/animalai-olympics,N,516,312,1876,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/beyretb/AnimalAI-Olympics/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/beyretb/AnimalAI-Olympics/issues/83 and https://github.com/beyretb/AnimalAI-Olympics/issues/91",0,"There is no license to be found, either in the form of a license file or written inside the source code file.",1,There are files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhoov/exbert,Y,283,138,60137,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/bhoov/exbert/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/bhoov/exbert/issues/7 and https://github.com/bhoov/exbert/issues/10",1,https://github.com/bhoov/exbert/blob/master/LICENSE is provided.,1,There are many files related to testing,332.0,16.0,453.0,441.0,1839.0,1829.0,1829.0,19.0,377.0,2481.0,0.10278637770897833,0.011904761904761904,0.0523457360758031,0.051094890510948905,0.058654674193857045,0.08899810228212739,0.08899810228212739,0.01003167898627244,0.4111232279171211,0.05576534052596088
